PERMNO,date,Year,TICKER,COMNAM,PRC,RET,sprtrn,annual_sprtrn,Rf
14593,11/30/2017,2017,AAPL,APPLE INC,171.85001,0.02035,0.028082628,0.1942,0.0233
14593,12/29/2017,2017,AAPL,APPLE INC,169.23,-0.015246,0.00983163,0.1942,0.0233
14593,1/31/2018,2018,AAPL,APPLE INC,167.42999,-0.010636,0.056178704,-0.0624,0.0291
14593,2/28/2018,2018,AAPL,APPLE INC,178.12,0.06761,-0.038947372,-0.0624,0.0291
14593,3/29/2018,2018,AAPL,APPLE INC,167.78,-0.058051,-0.026884499,-0.0624,0.0291
14593,4/30/2018,2018,AAPL,APPLE INC,165.25999,-0.01502,0.002718775,-0.0624,0.0291
14593,5/31/2018,2018,AAPL,APPLE INC,186.87,0.135181,0.021608342,-0.0624,0.0291
14593,6/29/2018,2018,AAPL,APPLE INC,185.11,-0.009418,0.004842436,-0.0624,0.0291
14593,7/31/2018,2018,AAPL,APPLE INC,190.28999,0.027983,0.036021556,-0.0624,0.0291
14593,8/31/2018,2018,AAPL,APPLE INC,227.63,0.200063,0.030263211,-0.0624,0.0291
14593,9/28/2018,2018,AAPL,APPLE INC,225.74001,-0.008303,0.004294287,-0.0624,0.0291
14593,10/31/2018,2018,AAPL,APPLE INC,218.86,-0.030478,-0.069403356,-0.0624,0.0291
14593,11/30/2018,2018,AAPL,APPLE INC,178.58,-0.180709,0.017859357,-0.0624,0.0291
14593,12/31/2018,2018,AAPL,APPLE INC,157.74001,-0.116698,-0.091776895,-0.0624,0.0291
14593,1/31/2019,2019,AAPL,APPLE INC,166.44,0.055154,0.078684402,0.2888,0.0214
14593,2/28/2019,2019,AAPL,APPLE INC,173.14999,0.044701,0.029728889,0.2888,0.0214
14593,3/29/2019,2019,AAPL,APPLE INC,189.95,0.097026,0.017924256,0.2888,0.0214
14593,4/30/2019,2019,AAPL,APPLE INC,200.67,0.056436,0.039313498,0.2888,0.0214
14593,5/31/2019,2019,AAPL,APPLE INC,175.07001,-0.123735,-0.065777731,0.2888,0.0214
14593,6/28/2019,2019,AAPL,APPLE INC,197.92,0.130519,0.068930164,0.2888,0.0214
14593,7/31/2019,2019,AAPL,APPLE INC,213.03999,0.076394,0.013128152,0.2888,0.0214
14593,8/30/2019,2019,AAPL,APPLE INC,208.74001,-0.01657,-0.018091627,0.2888,0.0214
14593,9/30/2019,2019,AAPL,APPLE INC,223.97,0.072962,0.017181178,0.2888,0.0214
14593,10/31/2019,2019,AAPL,APPLE INC,248.75999,0.110684,0.020431771,0.2888,0.0214
14593,11/29/2019,2019,AAPL,APPLE INC,267.25,0.077424,0.034047037,0.2888,0.0214
14593,12/31/2019,2019,AAPL,APPLE INC,293.64999,0.098784,0.028589819,0.2888,0.0214
14593,1/31/2020,2020,AAPL,APPLE INC,309.51001,0.05401,-0.001628093,0.1626,0.0089
14593,2/28/2020,2020,AAPL,APPLE INC,273.35999,-0.11431,-0.084110484,0.1626,0.0089
14593,3/31/2020,2020,AAPL,APPLE INC,254.28999,-0.069761,-0.125119282,0.1626,0.0089
